tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,fare_amount,tip_amount,payment_type,PULocationID,DOLocationID
2023-02-12 01:49:00,2023-02-12 01:56:00,2,17.06,46.95,4.26,Credit card,211,41
2023-02-04 12:55:00,2023-02-04 13:34:00,1,1.38,3.8,0.34,Credit card,222,103
2023-01-25 13:42:00,2023-01-25 13:59:00,4,14.82,40.79,3.7,Credit card,90,107
2023-02-28 06:06:00,2023-02-28 06:57:00,1,7.16,19.71,1.79,Cash,106,246
2023-03-04 15:18:00,2023-03-04 15:46:00,4,9.83,27.05,2.45,Credit card,172,87
2023-02-20 16:40:00,2023-02-20 16:45:00,2,18.61,51.22,4.65,Cash,230,66
2023-01-20 23:45:00,2023-01-21 00:10:00,1,6.97,19.18,1.74,Credit card,77,138
2023-03-04 07:33:00,2023-03-04 08:26:00,5,9.57,26.34,2.39,Credit card,68,200
2023-01-30 12:24:00,2023-01-30 13:22:00,3,0.77,2.12,0.19,Cash,92,93
2023-01-06 02:11:00,2023-01-06 02:49:00,4,2.09,5.75,0.52,Credit card,88,20
2023-01-21 20:21:00,2023-01-21 20:38:00,3,5.54,15.25,1.38,Credit card,50,90
2023-01-03 22:07:00,2023-01-03 22:13:00,3,1.04,2.86,0.26,Cash,103,50
2023-01-29 17:07:00,2023-01-29 17:55:00,1,12.81,35.26,3.2,Credit card,46,10
2023-02-06 12:21:00,2023-02-06 12:26:00,3,8.81,24.25,2.2,Cash,179,79
2023-01-25 08:53:00,2023-01-25 09:38:00,5,11.19,30.8,2.79,Credit card,8,37
2023-01-07 00:35:00,2023-01-07 01:26:00,3,3.91,10.76,0.98,Credit card,78,59
2023-01-20 04:53:00,2023-01-20 05:13:00,1,6.27,17.26,1.57,Credit card,240,88
2023-02-21 15:01:00,2023-02-21 15:20:00,5,13.44,36.99,3.36,Cash,258,104
2023-03-07 08:18:00,2023-03-07 09:07:00,2,19.32,53.17,4.82,Credit card,196,104
2023-01-29 15:25:00,2023-01-29 15:52:00,3,1.48,4.07,0.37,Cash,131,254
2023-01-20 08:29:00,2023-01-20 08:53:00,1,17.86,49.15,4.46,Cash,261,230
2023-03-01 15:49:00,2023-03-01 16:02:00,2,11.75,32.34,2.93,Credit card,242,37
2023-02-15 10:35:00,2023-02-15 10:46:00,2,11.5,31.65,2.87,Credit card,171,142
2023-02-06 00:16:00,2023-02-06 00:45:00,4,10.26,28.24,2.56,Credit card,147,43
2023-02-28 12:19:00,2023-02-28 12:56:00,5,1.85,5.09,0.46,Credit card,149,116
2023-02-11 18:22:00,2023-02-11 19:04:00,3,2.25,6.19,0.56,Credit card,28,84
2023-01-14 00:06:00,2023-01-14 00:30:00,1,12.22,33.63,3.05,Credit card,149,259
2023-01-25 02:38:00,2023-01-25 02:53:00,4,7.15,19.68,1.79,No charge,182,87
2023-01-13 17:01:00,2023-01-13 17:10:00,5,18.39,50.61,4.59,Cash,166,96
2023-01-23 10:45:00,2023-01-23 11:42:00,4,8.43,23.2,2.11,Cash,17,255
2023-03-09 19:27:00,2023-03-09 19:34:00,5,3.29,9.05,0.82,Cash,150,136
2023-02-21 02:19:00,2023-02-21 02:43:00,5,14.44,39.74,3.61,Credit card,45,248
2023-02-19 01:24:00,2023-02-19 01:47:00,3,6.22,17.12,1.55,Credit card,189,92
2023-01-24 21:58:00,2023-01-24 22:32:00,5,10.75,29.59,2.69,Cash,139,247
2023-03-09 23:52:00,2023-03-10 00:43:00,4,14.11,38.83,3.52,Credit card,61,258
2023-02-23 05:02:00,2023-02-23 05:40:00,5,18.06,49.7,4.51,No charge,33,187
2023-02-08 23:55:00,2023-02-09 00:38:00,3,15.95,43.9,3.98,Credit card,112,124
2023-02-23 02:44:00,2023-02-23 03:22:00,3,13.69,37.68,3.42,Credit card,37,260
2023-02-06 08:30:00,2023-02-06 08:56:00,4,13.75,37.84,3.43,Cash,100,169
2023-02-02 22:47:00,2023-02-02 23:19:00,2,18.95,52.15,4.73,No charge,23,111
2023-01-20 23:06:00,2023-01-20 23:54:00,2,6.27,17.26,1.57,Credit card,218,87
2023-01-13 14:11:00,2023-01-13 14:24:00,5,0.52,1.43,0.13,Cash,89,13
2023-02-16 09:04:00,2023-02-16 09:30:00,1,5.8,15.96,1.45,Credit card,209,263
2023-02-14 22:06:00,2023-02-14 22:42:00,5,4.75,13.07,1.19,Credit card,237,23
2023-01-09 06:35:00,2023-01-09 07:02:00,4,13.41,36.91,3.35,Cash,209,200
2023-03-10 19:01:00,2023-03-10 19:54:00,4,12.86,35.39,3.21,Credit card,206,242
2023-01-05 06:55:00,2023-01-05 07:12:00,4,12.07,33.22,3.01,Credit card,78,239
2023-01-10 23:31:00,2023-01-10 23:46:00,4,0.82,2.26,0.21,Credit card,98,165
2023-01-14 21:53:00,2023-01-14 22:49:00,4,14.71,40.48,3.67,Credit card,94,226
2023-02-27 02:40:00,2023-02-27 03:10:00,3,6.81,18.74,1.7,Credit card,80,176
2023-01-15 13:29:00,2023-01-15 13:35:00,2,13.47,37.07,3.36,Credit card,38,29
2023-03-03 22:32:00,2023-03-03 22:51:00,4,11.35,31.24,2.83,Credit card,228,165
2023-02-08 10:13:00,2023-02-08 10:32:00,1,7.18,19.76,1.79,No charge,134,23
2023-02-24 06:52:00,2023-02-24 07:43:00,1,3.12,8.59,0.78,Credit card,196,44
2023-01-06 18:46:00,2023-01-06 18:59:00,1,2.34,6.44,0.58,Cash,101,261
2023-02-05 00:32:00,2023-02-05 00:50:00,1,16.71,45.99,4.17,Credit card,75,180
2023-02-04 17:39:00,2023-02-04 18:30:00,3,18.41,50.67,4.6,Credit card,208,139
2023-02-24 05:44:00,2023-02-24 05:50:00,1,13.17,36.25,3.29,Credit card,83,248
2023-02-12 14:28:00,2023-02-12 15:10:00,4,2.52,6.94,0.63,Credit card,143,241
2023-02-18 03:52:00,2023-02-18 04:29:00,5,8.34,22.95,2.08,Credit card,56,106
2023-01-23 21:13:00,2023-01-23 21:28:00,1,14.71,40.48,3.67,Credit card,211,173
2023-02-20 08:32:00,2023-02-20 08:44:00,3,15.71,43.24,3.92,Credit card,179,49
2023-01-02 01:04:00,2023-01-02 01:32:00,3,2.81,7.73,0.7,Credit card,58,123
2023-03-03 22:06:00,2023-03-03 22:56:00,1,0.5,1.38,0.13,Credit card,73,35
2023-03-07 14:26:00,2023-03-07 15:12:00,5,14.39,39.6,3.59,Credit card,215,106
2023-01-11 10:14:00,2023-01-11 11:09:00,1,7.45,20.5,1.86,Credit card,73,196
2023-03-04 01:13:00,2023-03-04 01:20:00,3,5.46,15.03,1.36,Cash,234,109
2023-02-18 21:01:00,2023-02-18 21:30:00,2,0.75,2.06,0.19,Credit card,19,125
2023-03-10 08:19:00,2023-03-10 09:04:00,4,11.04,30.38,2.76,Credit card,113,37
2023-01-25 06:53:00,2023-01-25 07:14:00,3,17.1,47.06,4.27,Credit card,63,188
2023-02-28 08:12:00,2023-02-28 09:06:00,1,19.17,52.76,4.79,Cash,184,23
2023-01-31 23:07:00,2023-01-31 23:46:00,4,11.53,31.73,2.88,Credit card,162,261
2023-01-11 03:41:00,2023-01-11 04:25:00,1,10.53,28.98,2.63,Cash,243,194
2023-01-27 17:09:00,2023-01-27 17:17:00,1,2.16,5.94,0.54,Credit card,145,152
2023-02-09 13:45:00,2023-02-09 14:28:00,2,11.2,30.82,2.8,No charge,146,18
2023-01-15 09:30:00,2023-01-15 09:38:00,4,7.91,21.77,1.98,Cash,81,27
2023-02-11 07:10:00,2023-02-11 07:57:00,4,12.34,33.96,3.08,Cash,43,24
2023-01-01 07:05:00,2023-01-01 07:16:00,2,8.08,22.24,2.02,Credit card,176,29
2023-03-07 17:26:00,2023-03-07 18:12:00,3,5.19,14.28,1.3,Credit card,69,139
2023-03-07 12:09:00,2023-03-07 13:07:00,1,2.35,6.47,0.59,Credit card,56,146
2023-01-24 23:22:00,2023-01-24 23:28:00,5,6.64,18.27,1.66,Credit card,119,123
2023-02-15 13:32:00,2023-02-15 13:40:00,1,2.38,6.55,0.59,Cash,204,128
2023-03-11 08:31:00,2023-03-11 09:20:00,1,3.95,10.87,0.99,Credit card,55,117
2023-01-17 06:16:00,2023-01-17 06:28:00,3,19.75,54.36,4.93,Credit card,38,132
2023-02-16 05:02:00,2023-02-16 05:33:00,1,9.16,25.21,2.29,Credit card,243,206
2023-01-10 16:27:00,2023-01-10 17:00:00,2,10.87,29.92,2.72,Credit card,201,236
2023-02-26 21:59:00,2023-02-26 22:28:00,2,17.54,48.27,4.38,Credit card,236,42
2023-01-28 03:57:00,2023-01-28 04:09:00,4,19.91,54.8,4.97,Cash,15,160
2023-02-28 03:48:00,2023-02-28 04:28:00,5,11.86,32.64,2.96,Credit card,144,252
2023-02-16 05:00:00,2023-02-16 05:21:00,1,16.34,44.97,4.08,Credit card,77,179
2023-02-25 10:18:00,2023-02-25 10:53:00,1,6.88,18.94,1.72,Credit card,263,125
2023-01-19 02:31:00,2023-01-19 03:20:00,3,6.46,17.78,1.61,Credit card,185,260
2023-01-14 21:52:00,2023-01-14 22:06:00,2,8.35,22.98,2.09,Credit card,55,213
2023-02-04 00:49:00,2023-02-04 01:07:00,5,13.61,37.46,3.4,Credit card,4,190
2023-03-11 09:43:00,2023-03-11 10:32:00,4,13.8,37.98,3.45,Cash,40,58
2023-01-15 16:54:00,2023-01-15 17:42:00,2,6.65,18.3,1.66,Cash,230,203
2023-02-19 02:17:00,2023-02-19 03:02:00,4,3.1,8.53,0.77,Cash,138,80
2023-02-18 06:34:00,2023-02-18 06:39:00,3,12.83,35.31,3.2,Credit card,103,228
2023-01-01 01:14:00,2023-01-01 01:38:00,3,3.0,8.26,0.75,No charge,7,95
2023-02-24 12:24:00,2023-02-24 12:55:00,1,11.78,32.42,2.94,Cash,164,4
2023-01-30 12:07:00,2023-01-30 12:54:00,5,14.02,38.59,3.5,Cash,49,165
2023-02-14 11:22:00,2023-02-14 11:33:00,4,14.16,38.97,3.54,Credit card,96,42
2023-01-02 18:32:00,2023-01-02 19:19:00,2,15.19,41.81,3.79,Cash,59,229
2023-01-11 04:22:00,2023-01-11 05:00:00,3,17.52,48.22,4.38,Cash,231,243
2023-02-03 00:56:00,2023-02-03 01:18:00,1,10.25,28.21,2.56,Cash,177,212
2023-01-28 23:46:00,2023-01-29 00:30:00,1,14.74,40.57,3.68,Credit card,90,55
2023-01-22 19:05:00,2023-01-22 19:48:00,4,12.57,34.59,3.14,Cash,36,173
2023-01-06 06:32:00,2023-01-06 07:21:00,3,4.14,11.39,1.03,No charge,171,229
2023-01-22 22:11:00,2023-01-22 22:24:00,5,1.0,2.75,0.25,Credit card,126,30
2023-02-21 15:24:00,2023-02-21 15:55:00,3,6.05,16.65,1.51,Credit card,204,23
2023-01-08 04:02:00,2023-01-08 05:00:00,4,9.14,25.15,2.28,Cash,97,5
2023-01-08 19:06:00,2023-01-08 19:17:00,4,12.53,34.48,3.13,Credit card,238,63
2023-03-08 14:52:00,2023-03-08 15:29:00,3,17.07,46.98,4.26,Credit card,173,221
2023-02-14 05:39:00,2023-02-14 06:30:00,4,4.33,11.92,1.08,Credit card,88,82
2023-01-07 07:11:00,2023-01-07 07:55:00,3,2.95,8.12,0.74,Cash,17,242
2023-03-11 05:33:00,2023-03-11 05:45:00,2,19.29,53.09,4.82,Credit card,140,253
2023-02-18 11:42:00,2023-02-18 12:05:00,3,2.61,7.18,0.65,Credit card,254,52
2023-01-12 10:43:00,2023-01-12 10:55:00,3,9.83,27.05,2.45,Credit card,151,39
2023-01-12 16:28:00,2023-01-12 17:23:00,4,11.92,32.81,2.98,Cash,140,259
2023-03-02 01:14:00,2023-03-02 01:25:00,4,11.06,30.44,2.76,Credit card,114,72
2023-02-13 06:16:00,2023-02-13 06:52:00,1,2.18,6.0,0.54,Cash,68,70
2023-02-20 01:03:00,2023-02-20 01:20:00,1,1.61,4.43,0.4,Cash,179,220
2023-01-16 00:43:00,2023-01-16 01:26:00,2,2.56,7.05,0.64,Credit card,125,4
2023-01-25 03:01:00,2023-01-25 03:18:00,1,11.92,32.81,2.98,Credit card,233,231
2023-02-18 00:43:00,2023-02-18 01:37:00,3,11.11,30.58,2.77,Credit card,147,80
2023-02-25 05:07:00,2023-02-25 05:28:00,4,5.06,13.93,1.26,Credit card,111,66
2023-02-08 12:21:00,2023-02-08 13:19:00,1,12.94,35.61,3.23,Credit card,238,136
2023-01-20 06:40:00,2023-01-20 07:18:00,1,16.49,45.38,4.12,Cash,3,191
2023-02-19 02:06:00,2023-02-19 02:23:00,2,1.31,3.61,0.33,Cash,211,59
2023-03-10 17:54:00,2023-03-10 18:21:00,2,10.21,28.1,2.55,Credit card,25,7
2023-03-08 10:33:00,2023-03-08 11:23:00,3,13.94,38.37,3.48,Credit card,184,202
2023-03-04 19:02:00,2023-03-04 19:33:00,4,5.42,14.92,1.35,Credit card,61,237
2023-01-19 07:25:00,2023-01-19 07:48:00,2,6.5,17.89,1.62,Credit card,123,79
2023-03-06 21:27:00,2023-03-06 21:42:00,1,12.47,34.32,3.11,Credit card,55,46
2023-01-29 08:57:00,2023-01-29 09:04:00,4,18.01,49.57,4.5,Cash,163,243
2023-02-06 07:36:00,2023-02-06 08:16:00,4,16.29,44.83,4.07,Cash,187,160
2023-03-03 03:19:00,2023-03-03 03:55:00,1,11.87,32.67,2.96,Credit card,39,115
2023-03-01 03:40:00,2023-03-01 03:58:00,2,14.74,40.57,3.68,Cash,185,114
2023-02-03 23:44:00,2023-02-04 00:33:00,1,7.61,20.94,1.9,Credit card,83,126
2023-02-09 21:02:00,2023-02-09 21:37:00,4,13.0,35.78,3.25,Cash,195,90
2023-02-17 02:39:00,2023-02-17 03:05:00,5,9.59,26.39,2.39,Credit card,34,61
2023-02-11 02:17:00,2023-02-11 02:37:00,5,4.2,11.56,1.05,Credit card,113,102
2023-01-12 00:20:00,2023-01-12 00:25:00,3,14.18,39.03,3.54,Cash,230,114
2023-01-23 13:33:00,2023-01-23 13:38:00,1,11.35,31.24,2.83,Credit card,155,174
2023-01-21 10:51:00,2023-01-21 11:38:00,1,7.49,20.61,1.87,Cash,165,92
2023-01-06 19:52:00,2023-01-06 20:02:00,3,18.27,50.28,4.56,Credit card,182,183
2023-01-31 18:33:00,2023-01-31 18:45:00,3,0.91,2.5,0.23,Credit card,239,205
2023-01-02 21:57:00,2023-01-02 22:55:00,3,6.66,18.33,1.66,Credit card,137,195
2023-02-23 13:10:00,2023-02-23 13:51:00,4,1.61,4.43,0.4,Credit card,187,25
2023-02-20 10:03:00,2023-02-20 10:50:00,1,15.45,42.52,3.86,Credit card,40,234
2023-01-21 22:41:00,2023-01-21 23:17:00,4,14.19,39.05,3.54,Credit card,167,16
2023-02-23 13:28:00,2023-02-23 13:42:00,3,6.96,19.16,1.74,Credit card,260,141
2023-01-21 01:04:00,2023-01-21 01:14:00,1,13.68,37.65,3.42,Credit card,143,108
2023-01-01 15:42:00,2023-01-01 16:36:00,4,8.22,22.62,2.05,Cash,204,80
2023-01-07 11:05:00,2023-01-07 11:42:00,4,15.25,41.97,3.81,Credit card,176,76
2023-03-06 10:18:00,2023-03-06 10:27:00,3,9.36,25.76,2.34,Cash,262,112
2023-02-27 10:39:00,2023-02-27 11:30:00,1,8.54,23.5,2.13,Credit card,252,75
2023-01-06 08:36:00,2023-01-06 09:27:00,3,18.73,51.55,4.68,Credit card,200,214
2023-01-21 20:07:00,2023-01-21 20:18:00,1,5.39,14.83,1.35,Credit card,199,34
2023-01-07 03:14:00,2023-01-07 03:35:00,5,2.85,7.84,0.71,Credit card,196,141
2023-01-03 20:37:00,2023-01-03 21:23:00,2,11.9,32.75,2.97,Credit card,77,166
2023-01-31 01:49:00,2023-01-31 02:08:00,2,19.4,53.39,4.84,Credit card,19,231
2023-01-07 10:47:00,2023-01-07 11:21:00,2,7.87,21.66,1.97,Credit card,62,28
2023-02-16 19:11:00,2023-02-16 19:34:00,3,1.71,4.71,0.43,Credit card,250,91
2023-01-22 15:55:00,2023-01-22 16:16:00,5,7.12,19.6,1.78,Cash,227,115
2023-01-26 08:20:00,2023-01-26 08:54:00,1,10.37,28.54,2.59,Credit card,127,159
2023-03-02 21:24:00,2023-03-02 21:32:00,4,3.66,10.07,0.91,Credit card,58,258
2023-02-14 04:24:00,2023-02-14 04:35:00,1,13.33,36.69,3.33,Credit card,204,90
2023-01-20 12:00:00,2023-01-20 12:57:00,4,19.96,54.93,4.98,Cash,243,245
2023-02-19 01:58:00,2023-02-19 02:14:00,1,9.31,25.62,2.32,Credit card,252,31
2023-01-13 01:02:00,2023-01-13 02:02:00,5,7.42,20.42,1.85,Credit card,199,228
2023-03-07 20:11:00,2023-03-07 20:18:00,4,8.31,22.87,2.08,Credit card,240,128
2023-02-21 23:27:00,2023-02-22 00:26:00,3,2.75,7.57,0.69,Credit card,139,209
2023-02-22 10:45:00,2023-02-22 11:08:00,1,17.72,48.77,4.43,Credit card,122,178
2023-02-13 00:33:00,2023-02-13 01:01:00,1,8.59,23.64,2.15,Cash,49,191
2023-01-23 02:50:00,2023-01-23 03:46:00,4,8.05,22.16,2.01,Credit card,115,68
2023-02-13 01:13:00,2023-02-13 02:01:00,3,13.36,36.77,3.34,Credit card,251,128
2023-02-07 01:14:00,2023-02-07 01:39:00,3,9.12,25.1,2.28,Credit card,7,221
2023-01-18 07:57:00,2023-01-18 08:29:00,5,13.14,36.16,3.28,Credit card,219,242
2023-01-09 14:03:00,2023-01-09 14:55:00,3,1.7,4.68,0.42,Credit card,77,244
2023-01-09 19:44:00,2023-01-09 19:56:00,3,16.37,45.05,4.09,Credit card,179,19
2023-03-01 23:34:00,2023-03-01 23:45:00,3,18.84,51.85,4.71,Credit card,145,155
2023-02-09 05:38:00,2023-02-09 06:37:00,2,13.15,36.19,3.28,Credit card,154,229
2023-02-02 05:58:00,2023-02-02 06:51:00,5,19.11,52.59,4.77,Credit card,121,58
2023-02-08 13:19:00,2023-02-08 13:26:00,1,3.45,9.5,0.86,Cash,124,45
2023-02-07 10:03:00,2023-02-07 10:08:00,4,9.81,27.0,2.45,Credit card,150,102
